Unnamed: 0,Inhibitor,Metal,Alloy,Temperature_K,pH,Salt_Concentrat_M,Efficiency,Cost/100 gm,Cost,Toxicity,Source,cluster_label
39,5-Ethoxy-2-mercaptobenzimidazole,Al,AA2024,298,4,0.1,70,50,https://www.indiamart.com/proddetail/5-ethoxy-2-mercaptobenzimidazole-intermideate-2851252825612.html,skin eye irritant also cause specific target organ toxicity,https://www.fishersci.fi/store/msds?partNumber=11374755&countryCode=FI&language=en,1
40,5-Ethoxy-2-mercaptobenzimidazole,Al,AA2024,298,10,0.1,50,50,https://www.indiamart.com/proddetail/5-ethoxy-2-mercaptobenzimidazole-intermideate-2851252825612.html,skin eye irritant also cause specific target organ toxicity,https://www.fishersci.fi/store/msds?partNumber=11374755&countryCode=FI&language=en,1
43,6-Amino-2-mercaptobenzothiazole,Al,AA2024,298,7,0.1,89,178800,https://www.tcichemicals.com/IN/en/p/A0682,skin eye irritant also cause specific target organ toxicity,https://www.echemi.com/sds/6-amino-2-mercaptobenzothiazole-pid_Rock21413.html,1
44,6-Mercaptonicotinic acid,Al,AA2024,298,4,0.1,60,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
45,6-Mercaptonicotinic acid,Al,AA2024,298,10,0.1,50,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
46,6-Mercaptonicotinic acid,Al,AA2024,298,7,0.1,94,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
47,8-Hydroxyquinoline,Al,AA2024,298,4,0.1,50,220,https://m.indiamart.com/proddetail/8-hydroxyquinoline-1773301588.html,toxic aquatic organism genotoxcity break dna,https://pubmed.ncbi.nlm.nih.gov/26067700/,1
55,Dimethylglyoxime,Al,AA2024,298,4,0.1,50,2741.7,https://www.sigmaaldrich.com/IN/en/product/sial/162574,toxic swallowed flammable solid,,1
56,Dimethylglyoxime,Al,AA2024,298,10,0.1,50,2741.7,https://www.sigmaaldrich.com/IN/en/product/sial/162574,toxic swallowed flammable solid,,1
62,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,94.4,"109,734.60",https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
63,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,90.4,"109,734.60",https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
64,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,90,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
65,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,55.6,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
66,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,92.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
67,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,87.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
68,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,86.9,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
69,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,52.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
70,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,89.5,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
71,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,84.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
72,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,83.3,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
73,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,86.8,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
74,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,81.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
75,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,80.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
76,Sodium sulfite,Al,AA2024,298,7,0.6,63.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
77,Sodium sulfite,Al,AA2024,298,7,0.6,82.6,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
78,Sodium sulfite,Al,AA2024,298,7,0.6,98.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
79,Sodium sulfite,Al,AA2024,298,7,0.6,98.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
80,Sodium sulfite,Al,AA2024,308,7,0.6,61,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
81,Sodium sulfite,Al,AA2024,308,7,0.6,80,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
82,Sodium sulfite,Al,AA2024,308,7,0.6,95.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
83,Sodium sulfite,Al,AA2024,308,7,0.6,96,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
84,Sodium sulfite,Al,AA2024,318,7,0.6,58.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
85,Sodium sulfite,Al,AA2024,318,7,0.6,77,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
86,Sodium sulfite,Al,AA2024,318,7,0.6,92.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
87,Sodium sulfite,Al,AA2024,318,7,0.6,94,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
88,Sodium sulfite,Al,AA2024,328,7,0.6,55.1,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
89,Sodium sulfite,Al,AA2024,328,7,0.6,74.3,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
90,Sodium sulfite,Al,AA2024,328,7,0.6,87.8,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
91,Sodium sulfite,Al,AA2024,328,7,0.6,91.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
160,Cerium(III) sulfate,Al,AA2024,298,7,0.01,94.3,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
161,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.6,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
162,Cerium(III) sulfate,Al,AA2024,298,7,0.01,91.5,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
163,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
164,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.3,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
165,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.4,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
166,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.9,74600,https://www.sigmaaldrich.com/IN/en/search/13454-94-9?focus=products&page=1&perpage=30&sort=relevance&term=13454-94-9&type=cas_number,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
167,Cerium(III) chloride,Al,AA2024,298,7,0.01,77.1,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
168,Cerium(III) chloride,Al,AA2024,298,7,0.01,80.5,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
169,Cerium(III) chloride,Al,AA2024,298,7,0.01,82.3,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
170,Cerium(III) chloride,Al,AA2024,298,7,0.01,87.9,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
171,Cerium(III) chloride,Al,AA2024,298,7,0.01,89.1,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
172,Cerium(III) chloride,Al,AA2024,298,7,0.01,93.6,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
173,Cerium(III) chloride,Al,AA2024,298,7,0.01,95.9,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
181,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,78.3,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774213,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
182,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,84.3,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774214,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
183,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,91,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774215,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
184,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,94.2,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774216,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
185,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,95.7,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774217,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
186,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,96.2,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774218,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
187,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,97.3,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774219,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
188,Cerium(III) sulfate,Al,AA2024,298,7,0.01,75.1,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
189,Cerium(III) sulfate,Al,AA2024,298,7,0.01,86,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
190,Cerium(III) sulfate,Al,AA2024,298,7,0.01,89.1,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
191,Cerium(III) sulfate,Al,AA2024,298,7,0.01,91.7,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
192,Cerium(III) sulfate,Al,AA2024,298,7,0.01,92.3,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
193,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.3,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
194,Cerium(III) sulfate,Al,AA2024,298,7,0.01,93.8,74600,https://www.sigmaaldrich.com/IN/en/product/aldrich/574201,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
195,Cerium(III) chloride,Al,AA2024,298,7,0.01,78.8,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
196,Cerium(III) chloride,Al,AA2024,298,7,0.01,81,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
197,Cerium(III) chloride,Al,AA2024,298,7,0.01,84,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
198,Cerium(III) chloride,Al,AA2024,298,7,0.01,87.3,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
199,Cerium(III) chloride,Al,AA2024,298,7,0.01,88.8,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
200,Cerium(III) chloride,Al,AA2024,298,7,0.01,90.7,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
201,Cerium (III) chloride,Al,AA2024,293,7,0.01,83.2,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
202,Cerium (III) chloride,Al,AA2024,293,7,0.01,87.48,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
203,Cerium (III) chloride,Al,AA2024,293,7,0.01,89.79,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
204,Cerium (III) chloride,Al,AA2024,313,7,0.01,70.62,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
205,Cerium (III) chloride,Al,AA2024,313,7,0.01,85.3,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
206,Cerium (III) chloride,Al,AA2024,333,7,0.01,66.66,11594.7,https://www.sigmaaldrich.com/IN/en/product/aldrich/228931,skin burneye damage toxic aquatic life long lasting effect,https://www.sigmaaldrich.com/IN/en/sds/ALDRICH/22300?userType=undefined,1
